FID,Fromnode,Tonode
0,43455396,43455409
1,43455401,43455410
2,43455457,43455466
3,43444490,43444491
4,43444482,43444490
5,43444482,43444483
6,43455438,43455439
7,43455438,43455436
8,43455401,43455396
9,43455449,43455457
10,43444493,43455449
11,43444467,43444493
12,43455456,43455457
13,43444452,43444485
14,43444408,43444464
15,43444408,43444410
16,43444438,43444452
17,43444438,43444478
18,43444410,43444438
19,43444456,43444492
20,43444456,43444452
21,43444458,43455443
22,43444458,43444456
23,43455409,43455404
24,43455448,43455456
25,43455448,43455449
26,43455430,43455436
27,43455430,43455432
28,43444445,43444446
29,43444405,43444445
30,43444405,43444406
31,43455465,43455466
32,43455447,43455448
33,43455450,43455447
34,43455464,43455465
35,43444492,43444493
36,43444481,43444484
37,43444481,43444482
38,43444489,43444492
39,43444489,43444490
40,43444480,43444481
41,43444480,43444468
42,43444468,43444469
43,43455445,43455447
44,43444466,43444468
45,43444464,43444466
46,43444464,43444467
47,43444487,43444489
48,43444479,43444487
49,43444479,43444480
50,43444487,43444488
51,43455451,43455456
52,43455451,43455445
53,43444477,43444479
54,43444477,43444478
55,43444465,43444477
56,43444465,43444466
57,43444463,43444465
58,43444478,43444485
59,43444485,43444486
60,43455443,43455445
61,43455413,43455451
62,43455413,43455443
63,43455414,43455413
64,43455423,43455424
65,43455415,43455423
66,43455424,43455428
67,43444424,43455379
68,43444424,43444445
69,43444436,43444437
70,43444409,43444436
71,43444409,43444410
72,43444451,43444456
73,43444451,43444442
74,43444442,43444444
75,43444439,43444442
76,43444404,43444408
77,43455439,43455441
78,43444434,43444439
79,43444433,43444434
80,43444432,43444436
81,43444403,43444404
82,43444407,43444409
83,43444407,43444403
84,43444407,43444432
85,43455399,43455400
86,43444448,43455399
87,43444431,43444432
88,43444446,43444451
89,43444446,43444406
90,43444402,43444406
91,43444402,43444403
92,43455395,43455394
93,43455429,43455438
94,43455427,43455429
95,43455382,43455396
96,43444398,43444405
97,43455428,43455429
98,43455420,43455427
99,43444419,43444420
100,43455419,43455420
101,43455419,43455430
102,43455392,43455419
103,43444397,43444395
104,43444395,43444402
105,43455392,43455391
106,43444397,43444419
107,43455384,43455391
108,43455383,43455384
109,43455383,43455401
110,43455381,43455383
111,43455379,43455381
112,43455379,43444429
113,43455418,43455420
114,43455425,43455427
115,43455418,43455425
116,43444418,43444419
117,43444396,43444397
118,43444416,43444418
119,43444396,43444416
120,43444415,43444424
121,43444415,43444418
122,43455422,43455425
123,43455389,43455392
124,43455417,43455422
125,43455417,43455418
126,43455386,43455389
127,43455386,43455391
128,43455375,43455381
129,43455378,43455384
130,43455375,43455378
131,43444394,43444396
132,43444393,43444394
133,43444412,43444416
134,43444412,43444394
135,43455421,43455422
136,43455416,43455417
137,43455374,43455375
138,43455385,43455386
139,43455388,43455389
140,43455377,43455378
141,43444411,43444412
142,43455376,43455415
143,43444422,43455376
144,43444422,43444424
145,43444414,43444422
146,43444413,43444414
147,43444413,43444415
148,43444392,43444413
149,43444392,43444395
150,43455436,43455437
151,43455432,43455437
152,43455410,43455409
153,43444448,43444458
154,43455394,43455399
155,43455437,43455440
156,43444447,43444446
157,43444434,43444435
158,43444435,43444439
159,833985552,43444448
160,876612410,876612409
161,876612411,876612407
162,876612412,876612413
163,876612413,876612411
164,876612414,876612413
165,876612411,876612415
166,876612415,876612409
167,876612416,876612415
168,876612419,876612417
169,876612420,876612419
170,876612418,876612421
171,876612421,876612419
172,876612421,876612422
173,877951505,877053299
174,877053299,876612418
175,43455441,877053300
176,877053300,43455464
177,877053300,877053299
178,876612409,877951505
179,877951505,876612418
