People,Percent
2,0.006
3,0.011
4,0.011
5,0.021
6,0.034
7,0.062
8,0.077
9,0.082
10,0.134
11,0.133
12,0.156
13,0.192
14,0.218
15,0.239
16,0.284
17,0.335
18,0.323
19,0.386
20,0.405
21,0.433
22,0.49
23,0.519
24,0.548
25,0.559
26,0.619
27,0.629
28,0.667
29,0.681
30,0.724
31,0.732
32,0.724
33,0.788
34,0.786
35,0.802
36,0.817
37,0.849
38,0.853
39,0.868
40,0.891
41,0.901
42,0.908
43,0.925
44,0.945
45,0.938
46,0.952
47,0.952
48,0.954
49,0.977
50,0.961
51,0.972
52,0.977
53,0.98
54,0.985
55,0.989
56,0.991
57,0.991
58,0.989
59,0.991
60,0.997
61,0.992
62,0.998
63,0.997
64,0.999
65,0.999
66,0.998
67,0.997
68,1.0
69,0.999
70,1.0
71,1.0
72,0.999
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,1.0
90,1.0
91,1.0
92,1.0
93,1.0
94,1.0
95,1.0
96,1.0
97,1.0
98,1.0
99,1.0
100,1.0
